,names,companies,car_births,car_types,car_prices_1,car_prices_2,fuel_efficiencies,fuels,images
54,2021 쏘나타 하이브리드,현대,국산차,중형,2881.0,3635.0,19.1~20.1km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210422_279/auto_1619063672053ehjzf_PNG/20210422125415_di5DCOTY.png?type=f160_116
55,2021 코나 N,현대,국산차,소형,3418.0,,10.0km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210714_299/auto_1626240278303BCe1N_PNG/20210714142434_SSKvJm7Y.png?type=f160_116
56,2022 니로 EV,기아,국산차,소형,4590.0,4790.0,5.3km/kWh,전기,https://imgauto-phinf.pstatic.net/20210604_53/auto_1622771083931htOTQ_PNG/20210604104330_RUqlmtWE.png?type=f160_116
57,2022 티볼리 에어,쌍용,국산차,소형,1938.0,2236.0,11.9~12.0km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210504_295/auto_1620096565726lJx9T_PNG/20210504114708_Vqv7aZqG.png?type=f160_116
58,2021 포터2,현대,국산차,중형,1694.0,2276.0,8.9~9.9km/ℓ,디젤,https://imgauto-phinf.pstatic.net/20210225_198/auto_1614223100807886ok_PNG/20210225121804_38NsPSqp.png?type=f160_116
59,2021 SM6,르노삼성,국산차,중형,2401.0,3422.0,9.4~13.6km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20200715_236/auto_1594784554795szMHq_PNG/20200715124231_zYB0RYJe.png?type=f160_116
60,2022 K3 GT,기아,국산차,준중형,2582.0,,12.1km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210420_68/auto_1618881884410ECyPv_PNG/20210420102425_trKM01Pt.png?type=f160_116
61,2020 i10,현대,국산차,경형,9500.0,,4.7~5.5ℓ/100km,가솔린,https://imgauto-phinf.pstatic.net/20191231_39/auto_1577752858187l83gD_PNG/20191231094053_sejlzzuV.png?type=f160_116
62,2021 캠시스 CEVO-C SE,캠시스,국산차,경형,1570.0,,6.3km/kWh,전기,https://imgauto-phinf.pstatic.net/20210319_299/auto_1616116246137K2pyP_PNG/20210319101025_dBIbd1QJ.png?type=f160_116
63,2021 쿠스토,현대,국산차,준대형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20210817_132/auto_1629187658801CdRD0_PNG/20210817170726_hg31dGac.png?type=f160_116
64,2021 G90L,제네시스,국산차,대형,15609.0,,억,72km,https://imgauto-phinf.pstatic.net/20200626_46/auto_159315168088155AKR_PNG/20200626150658_PEQM6Xby.png?type=f160_116
65,2020 봉고3,기아,국산차,중형,1529.0,2219.0,6.5~9.9km/ℓ,"디젤,LPG",https://imgauto-phinf.pstatic.net/20190905_297/auto_156767243599295Vaz_PNG/20190905173352_NMwLSevx.png?type=f160_116
66,2020 벨로스터 N,현대,국산차,준중형,3019.0,3460.0,10.2~10.7km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20200421_101/auto_1587434119691wwXK9_PNG/20200421105321_HCwpQJAd.png?type=f160_116
67,2020 텔루라이드,기아,국산차,준대형,31690.0,43490.0,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20200214_153/auto_1581656813825zDIsp_PNG/20200214140650_L1ZhaqXM.png?type=f160_116
68,2021 G70 슈팅브레이크,제네시스,국산차,중형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20210513_131/auto_1620866960902EpAnG_PNG/20210513094900_PVKfje5V.png?type=f160_116
69,2019 쏠라티,현대,국산차,대형,6173.0,6499.0,정보없음,디젤,https://imgauto-phinf.pstatic.net/20200825_136/auto_1598341626481ebnu4_PNG/20200825164704_5TqYn7v1.png?type=f160_116
70,2022 니로 플러그인 하이브리드,기아,국산차,소형,3939.0,,18.6km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210604_240/auto_1622774657849sLIrU_PNG/20210604114346_VYSuaYzO.png?type=f160_116
71,2021 싼타크루즈,현대,국산차,중형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20210416_28/auto_1618549563742zlv78_PNG/20210416140550_R2XJcjDf.png?type=f160_116
72,2020 i30,현대,국산차,준중형,,,정보없음,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200522_189/auto_1590157057315OcTRF_PNG/20200522231700_vZrMKJhh.png?type=f160_116
73,2020 포터2 일렉트릭,현대,국산차,중형,4060.0,4274.0,3.1km/kWh,전기,https://imgauto-phinf.pstatic.net/20191209_17/auto_1575865268623fSg5O_PNG/20191209132054_FfMbB1uU.png?type=f160_116
74,2021 디피코 포트로 EV 탑,디피코,국산차,경형,2068.0,2280.0,4.2km/kWh,전기,https://imgauto-phinf.pstatic.net/20210323_49/auto_1616471096847gqwOA_PNG/20210323124439_iSEth116.png?type=f160_116
75,2021 쏘렌토 플러그인 하이브리드,기아,국산차,중형,,,79.0mpg,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210819_33/auto_1629361515274BJALO_PNG/20210819172502_b487gBB9.png?type=f160_116
76,2020 밍투,현대,국산차,중형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20201120_270/auto_1605859294683G6oyQ_PNG/20201120170121_T4Mnqv2L.png?type=f160_116
77,2020 SMART EV Z,SMART EV,국산차,경형,2750.0,,5.8km/kWh,전기,https://imgauto-phinf.pstatic.net/20200921_203/auto_1600677250909lpb68_PNG/20200921173408_mMAX5TPf.png?type=f160_116
78,2019 대창모터스 다니고 III 픽업,대창,국산차,경형,1880.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20191024_208/auto_1571893243020M2962_PNG/20191024140021_9PjPPuHA.png?type=f160_116
79,2020 봉고3 EV,기아,국산차,중형,4050.0,4270.0,3.1km/kWh,전기,https://imgauto-phinf.pstatic.net/20200107_217/auto_1578358719607HUOKP_PNG/20200107095837_0t9TTv5D.png?type=f160_116
80,2020 대창모터스 다니고 밴,대창,국산차,소형,3680.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20201119_278/auto_16057486881297yDu6_PNG/20201119101750_UJav8zxz.png?type=f160_116
81,2021 코나 일렉트릭,현대,국산차,소형,,,정보없음,전기,https://imgauto-phinf.pstatic.net/20210105_213/auto_1609834793889Uiw5i_PNG/20210105171942_A4ecVH6Y.png?type=f160_116
82,2020 크레타,현대,국산차,소형,1064000.0,,정보없음,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20191031_213/auto_1572498176489plix1_PNG/20191031140215_1NZDt0KB.png?type=f160_116
83,2021 i30 N 패스트백,현대,국산차,준중형,49000.0,52000.0,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20210618_52/auto_1623977548719wkMFE_PNG/20210618095207_ggCtG2KW.png?type=f160_116
84,2020 SMART EV D2P,SMART EV,국산차,경형,1980.0,,5.2km/kWh,전기,https://imgauto-phinf.pstatic.net/20200602_51/auto_1591075711847l00Cm_PNG/20200602142828_dzhM2H0y.png?type=f160_116
85,2020 라페스타 EV,현대,국산차,중형,24759.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20191219_281/auto_1576732111241gxnYG_PNG/20191219140814_mUMKpZvG.png?type=f160_116
86,2020 X씨드,기아,국산차,준중형,23295.0,28095.0,6.4~8.1ℓ/100km,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200226_210/auto_1582690274327gY6JK_PNG/20200226131049_U5tJ392f.png?type=f160_116
87,2020 밍투 일렉트릭,현대,국산차,중형,,,정보없음,전기,https://imgauto-phinf.pstatic.net/20201120_86/auto_1605859677308hvtqa_PNG/20201120170744_EDSgnHIv.png?type=f160_116
88,2021 리오 해치백,기아,국산차,소형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20200527_150/auto_1590564628631xQE1k_PNG/20200527163016_5f1FzeVS.png?type=f160_116
89,2020 i30 N,현대,국산차,준중형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20200925_267/auto_1600995780324bj5yg_PNG/20200925100242_obUpz49F.png?type=f160_116
